Location,Lat,Long
Limestone Creek (AL) near Athens (Capshaw),34.75166667,-86.82305556
Big Wills Creek (AL) near Fort Payne,34.43805556,-85.76722222
Big Nance Creek (AL) at Courtland,34.67,-87.31722222
Flint River (AL) at Brownsboro,34.74916667,-86.44666667
Pinhook Creek (AL) at Clinton Avenue in Huntsville,34.73027778,-86.59333333
Tennessee River at Decatur,34.61138889,-86.97527778
Tennessee River at Florence,34.78694444,-87.67
Aldridge Creek (AL) near Farley,34.62388889,-86.54111111
Tennessee River below Guntersville Dam,34.42138889,-86.39388889
Tennessee River above Guntersville Dam Headwater/Pool Elevation,34.4217,-86.3927
Indian Creek (AL) at Madison,34.69722222,-86.69972222
Bear Creek (AL) near Red Bay,34.44388889,-88.11555556
Tennessee River near Scottsboro,34.64361111,-85.98027778
Aldridge Creek (AL) at Sherwood Drive in Huntsville,34.66416667,-86.55416667
Aldridge Creek (AL) at Toney Drive in Huntsville,34.69805556,-86.55055556
Paint Rock River (AL) near Woodville,34.62416667,-86.30638889
Tennessee River at Whitesburg,34.57166667,-86.55805556
